Row: 0 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305124, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1614151800000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=8, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=1, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1614148200000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=北大口腔医院, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=dfae9f50-f2d2-49e1-9e78-e70d70b57363, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1614151800000, original_id=NULL, attachment_count=0, sync_data10=2911613973787319575, calendar_displayName=Phone
Row: 1 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305241, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1616639400000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=8, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=2, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1616635800000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=考试缴费, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=a1cb3634-9a51-491b-835f-6408a407d387, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1616639400000, original_id=NULL, attachment_count=0, sync_data10=2431614658651661925, calendar_displayName=Phone
Row: 2 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305099, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1618264800000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=7, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=3, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1618261200000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=口腔, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=835b4199-3b24-46e9-b66f-ad87ffea5fa6, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1618264800000, original_id=NULL, attachment_count=0, sync_data10=2971615530457103667, calendar_displayName=Phone
Row: 3 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305295, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1621051200000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=7, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=4, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1621047600000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=考试, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=9824dd60-269a-4519-8cf9-d737038a4e1d, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1621051200000, original_id=NULL, attachment_count=0, sync_data10=2321616640054466558, calendar_displayName=Phone
Row: 4 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305218, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1623546000000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=8, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=5, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1623542400000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=牙周护理, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=d487a156-36d7-45c7-ae26-833d9d20e843, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1623546000000, original_id=NULL, attachment_count=0, sync_data10=2501618271190007468, calendar_displayName=Phone
Row: 5 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305057, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1627012800000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=8, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=6, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1627009200000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=十点半, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=ef24d6c4-1452-4254-8b1c-46db10272784, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1627012800000, original_id=NULL, attachment_count=0, sync_data10=3111618282576053944, calendar_displayName=Phone
Row: 6 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530304880, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1618980000000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=7, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=8, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1618976400000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=协和下午两点, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=fc4f9f17-fd01-4eab-ac52-fcffcdc884d1, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1618980000000, original_id=NULL, attachment_count=0, sync_data10=3371618500536391265, calendar_displayName=Phone
Row: 7 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530304913, location_longitude=NULL, canOrganizerRespond=1, lastDate=1619889180000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=2, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=, calendar_color_index=NULL, _id=9, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1619876700000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=GMT+08:00, availability=0, title=乘坐海南航空HU7679航班, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=NULL, event_uuid=8b908aa7-e4c1-4707-8f5b-e71dc4912e4c, hasAlarm=0, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=0, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1619889180000, original_id=NULL, attachment_count=0, sync_data10=3331619859816623683, calendar_displayName=Phone
Row: 8 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530304945, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1620872400000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=7, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=10, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1620868800000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=拿医保卡, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=6c86c686-b859-4085-a66b-dc6e4f42d475, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1620872400000, original_id=NULL, attachment_count=0, sync_data10=3321620817714087037, calendar_displayName=Phone
Row: 9 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305028, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1620830700000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=7, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=11, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1620827100000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=拿身份证认证云账户, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=7058c83f-3ed3-4da7-8b94-341304c49099, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1620830700000, original_id=NULL, attachment_count=0, sync_data10=3171620817761077509, calendar_displayName=Phone
Row: 10 originalAllDay=NULL, account_type=com.android.huawei.phone, exrule=NULL, kv_synced_watch=0, mutators=com.android.providers.calendar, originalInstanceTime=NULL, allDay=0, allowedReminders=0,1, rrule=NULL, hwext_alert_type=0, event_time_stamp=1653530305265, location_longitude=c37d19942d3df9dfb1052d7eb1571ed6, canOrganizerRespond=1, lastDate=1620993600000, visible=1, calendar_id=1, hasExtendedProperties=1, calendar_access_level=700, selfAttendeeStatus=0, version=7, allowedAvailability=0,1, eventColor_index=NULL, isOrganizer=1, _sync_id=NULL, event_image_type=NULL, calendar_color_index=NULL, _id=12, guestsCanInviteOthers=1, allowedAttendeeTypes=0,1,2, dtstart=1620990000000, guestsCanSeeGuests=1, sync_data9=NULL, sync_data8=NULL, exdate=NULL, sync_data7=NULL, sync_data6=NULL, sync_data1=NULL, event_create_source=0, description=NULL, eventTimezone=Asia/Shanghai, availability=0, title=拿走准考证, ownerAccount=Phone, sync_data5=NULL, sync_data4=NULL, sync_data3=NULL, sync_data2=NULL, duration=NULL, event_calendar_type=0, lastSynced=0, guestsCanModify=0, cal_sync3=NULL, rdate=NULL, cal_sync2=NULL, maxReminders=5, isPrimary=1, cal_sync1=NULL, cal_sync10=NULL, account_name=Phone, cal_sync7=NULL, cal_sync6=NULL, cal_sync5=NULL, important_event_type=0, cal_sync4=NULL, calendar_color=-12213274, cal_sync9=NULL, cal_sync8=NULL, dirty=0, calendar_timezone=Asia/Shanghai, accessLevel=0, eventLocation=NULL, location_latitude=c37d19942d3df9dfb1052d7eb1571ed6, event_uuid=ac618f48-0898-4a94-aef1-c27d8ebf6d83, hasAlarm=1, uid2445=NULL, third_party_phone_syncid=NULL, deleted=0, eventColor=NULL, organizer=Phone, eventStatus=1, customAppUri=NULL, canModifyTimeZone=1, eventEndTimezone=NULL, customAppPackage=NULL, original_sync_id=NULL, hasAttendeeData=1, displayColor=-12213274, dtend=1620993600000, original_id=NULL, attachment_count=0, sync_data10=2411620988597375711, calendar_displayName=Phone
