Row: 0 _id=1, event_id=1, minutes=10, method=1
Row: 1 _id=2, event_id=2, minutes=10, method=1
Row: 2 _id=3, event_id=3, minutes=10, method=1
Row: 3 _id=4, event_id=4, minutes=10, method=1
Row: 4 _id=5, event_id=5, minutes=10, method=1
Row: 5 _id=6, event_id=6, minutes=10, method=1
Row: 6 _id=7, event_id=8, minutes=10, method=1
Row: 7 _id=8, event_id=10, minutes=10, method=1
Row: 8 _id=9, event_id=11, minutes=10, method=1
Row: 9 _id=10, event_id=12, minutes=10, method=1
Row: 10 _id=11, event_id=13, minutes=10, method=1
Row: 11 _id=12, event_id=14, minutes=10, method=1
Row: 12 _id=13, event_id=15, minutes=10, method=1
Row: 13 _id=14, event_id=16, minutes=10, method=1
Row: 14 _id=15, event_id=17, minutes=10, method=1
Row: 15 _id=16, event_id=18, minutes=10, method=1
Row: 16 _id=17, event_id=19, minutes=10, method=1
Row: 17 _id=18, event_id=20, minutes=10, method=1
Row: 18 _id=19, event_id=21, minutes=10, method=1
Row: 19 _id=20, event_id=22, minutes=10, method=1
Row: 20 _id=21, event_id=23, minutes=10, method=1
Row: 21 _id=22, event_id=24, minutes=10, method=1
Row: 22 _id=23, event_id=25, minutes=10, method=1
Row: 23 _id=26, event_id=28, minutes=10, method=1
Row: 24 _id=57, event_id=56, minutes=10, method=1
Row: 25 _id=58, event_id=48, minutes=10, method=1
Row: 26 _id=59, event_id=49, minutes=10, method=1
Row: 27 _id=60, event_id=47, minutes=10, method=1
Row: 28 _id=61, event_id=54, minutes=10, method=1
Row: 29 _id=62, event_id=42, minutes=10, method=1
Row: 30 _id=63, event_id=43, minutes=10, method=1
Row: 31 _id=64, event_id=58, minutes=10, method=1
Row: 32 _id=66, event_id=37, minutes=10, method=1
Row: 33 _id=67, event_id=38, minutes=10, method=1
Row: 34 _id=68, event_id=39, minutes=10, method=1
Row: 35 _id=69, event_id=55, minutes=10, method=1
Row: 36 _id=70, event_id=33, minutes=10, method=1
Row: 37 _id=71, event_id=51, minutes=10, method=1
Row: 38 _id=72, event_id=40, minutes=10, method=1
Row: 39 _id=73, event_id=53, minutes=10, method=1
Row: 40 _id=74, event_id=44, minutes=10, method=1
Row: 41 _id=76, event_id=32, minutes=10, method=1
Row: 42 _id=77, event_id=34, minutes=10, method=1
Row: 43 _id=78, event_id=35, minutes=10, method=1
Row: 44 _id=79, event_id=57, minutes=10, method=1
Row: 45 _id=80, event_id=29, minutes=10, method=1
Row: 46 _id=81, event_id=30, minutes=10, method=1
Row: 47 _id=82, event_id=52, minutes=10, method=1
Row: 48 _id=83, event_id=45, minutes=10, method=1
Row: 49 _id=84, event_id=31, minutes=10, method=1
Row: 50 _id=85, event_id=59, minutes=10, method=1
Row: 51 _id=86, event_id=60, minutes=10, method=1
Row: 52 _id=87, event_id=61, minutes=10, method=1
Row: 53 _id=88, event_id=62, minutes=10, method=1
Row: 54 _id=89, event_id=63, minutes=10, method=1
Row: 55 _id=90, event_id=64, minutes=10, method=1
Row: 56 _id=91, event_id=65, minutes=10, method=1
Row: 57 _id=92, event_id=66, minutes=10, method=1
Row: 58 _id=93, event_id=67, minutes=10, method=1
Row: 59 _id=94, event_id=68, minutes=10, method=1
Row: 60 _id=95, event_id=70, minutes=10, method=1
Row: 61 _id=96, event_id=71, minutes=10, method=1
Row: 62 _id=97, event_id=72, minutes=10, method=1
Row: 63 _id=98, event_id=73, minutes=10, method=1
Row: 64 _id=99, event_id=74, minutes=10, method=1
Row: 65 _id=100, event_id=75, minutes=10, method=1
Row: 66 _id=102, event_id=77, minutes=10, method=1
Row: 67 _id=103, event_id=78, minutes=10, method=1
Row: 68 _id=104, event_id=79, minutes=10, method=1
Row: 69 _id=105, event_id=80, minutes=10, method=1
Row: 70 _id=106, event_id=81, minutes=10, method=1
Row: 71 _id=107, event_id=82, minutes=10, method=1
Row: 72 _id=108, event_id=83, minutes=10, method=1
Row: 73 _id=109, event_id=84, minutes=10, method=1
Row: 74 _id=110, event_id=85, minutes=10, method=1
Row: 75 _id=111, event_id=86, minutes=10, method=1
Row: 76 _id=114, event_id=89, minutes=10, method=1
Row: 77 _id=115, event_id=90, minutes=10, method=1
Row: 78 _id=117, event_id=92, minutes=10, method=1
Row: 79 _id=118, event_id=93, minutes=10, method=1
Row: 80 _id=119, event_id=94, minutes=10, method=1
Row: 81 _id=120, event_id=95, minutes=10, method=1
Row: 82 _id=121, event_id=96, minutes=10, method=1
Row: 83 _id=124, event_id=100, minutes=10, method=1
Row: 84 _id=125, event_id=101, minutes=10, method=1
Row: 85 _id=126, event_id=102, minutes=10, method=1
Row: 86 _id=127, event_id=103, minutes=10, method=1
Row: 87 _id=128, event_id=105, minutes=10, method=1
Row: 88 _id=129, event_id=106, minutes=10, method=1
Row: 89 _id=130, event_id=107, minutes=10, method=1
Row: 90 _id=131, event_id=108, minutes=10, method=1
Row: 91 _id=132, event_id=109, minutes=10, method=1
Row: 92 _id=133, event_id=110, minutes=10, method=1
Row: 93 _id=134, event_id=111, minutes=10, method=1
Row: 94 _id=135, event_id=112, minutes=10, method=1
Row: 95 _id=136, event_id=113, minutes=10, method=1
Row: 96 _id=137, event_id=114, minutes=10, method=1
Row: 97 _id=139, event_id=116, minutes=10, method=1
Row: 98 _id=140, event_id=118, minutes=10, method=1
Row: 99 _id=141, event_id=119, minutes=0, method=1
Row: 100 _id=142, event_id=120, minutes=0, method=1
Row: 101 _id=143, event_id=121, minutes=10, method=1
Row: 102 _id=144, event_id=123, minutes=10, method=1
Row: 103 _id=145, event_id=124, minutes=10, method=1
Row: 104 _id=146, event_id=125, minutes=10, method=1
Row: 105 _id=147, event_id=126, minutes=10, method=1
Row: 106 _id=148, event_id=127, minutes=10, method=1
Row: 107 _id=149, event_id=128, minutes=10, method=1
Row: 108 _id=150, event_id=129, minutes=10, method=1
Row: 109 _id=151, event_id=130, minutes=10, method=1
Row: 110 _id=152, event_id=132, minutes=10, method=1
Row: 111 _id=153, event_id=133, minutes=10, method=1
Row: 112 _id=154, event_id=134, minutes=10, method=1
Row: 113 _id=155, event_id=135, minutes=10, method=1
Row: 114 _id=156, event_id=136, minutes=10, method=1
Row: 115 _id=157, event_id=137, minutes=10, method=1
Row: 116 _id=158, event_id=138, minutes=10, method=1
Row: 117 _id=159, event_id=139, minutes=10, method=1
Row: 118 _id=160, event_id=140, minutes=10, method=1
Row: 119 _id=161, event_id=141, minutes=10, method=1
Row: 120 _id=162, event_id=142, minutes=10, method=1
Row: 121 _id=163, event_id=143, minutes=10, method=1
Row: 122 _id=164, event_id=144, minutes=10, method=1
Row: 123 _id=165, event_id=145, minutes=10, method=1
Row: 124 _id=166, event_id=146, minutes=10, method=1
Row: 125 _id=167, event_id=147, minutes=10, method=1
Row: 126 _id=168, event_id=148, minutes=10, method=1
Row: 127 _id=169, event_id=149, minutes=10, method=1
Row: 128 _id=170, event_id=151, minutes=10, method=1
Row: 129 _id=171, event_id=152, minutes=10, method=1
Row: 130 _id=172, event_id=153, minutes=10, method=1
Row: 131 _id=173, event_id=154, minutes=10, method=1
Row: 132 _id=174, event_id=155, minutes=10, method=1
Row: 133 _id=175, event_id=156, minutes=10, method=1
Row: 134 _id=176, event_id=157, minutes=10, method=1
Row: 135 _id=177, event_id=158, minutes=10, method=1
Row: 136 _id=178, event_id=159, minutes=10, method=1
Row: 137 _id=179, event_id=160, minutes=10, method=1
Row: 138 _id=180, event_id=161, minutes=10, method=1
Row: 139 _id=181, event_id=162, minutes=10, method=1
Row: 140 _id=182, event_id=163, minutes=10, method=1
Row: 141 _id=183, event_id=164, minutes=10, method=1
Row: 142 _id=184, event_id=165, minutes=10, method=1
Row: 143 _id=185, event_id=166, minutes=10, method=1
Row: 144 _id=186, event_id=167, minutes=10, method=1
Row: 145 _id=187, event_id=168, minutes=10, method=1
Row: 146 _id=188, event_id=169, minutes=10, method=1
Row: 147 _id=189, event_id=170, minutes=10, method=1
Row: 148 _id=190, event_id=171, minutes=10, method=1
Row: 149 _id=191, event_id=172, minutes=10, method=1
Row: 150 _id=193, event_id=174, minutes=10, method=1
Row: 151 _id=194, event_id=175, minutes=10, method=1
Row: 152 _id=195, event_id=176, minutes=10, method=1
Row: 153 _id=198, event_id=179, minutes=10, method=1
Row: 154 _id=199, event_id=180, minutes=10, method=1
Row: 155 _id=202, event_id=183, minutes=10, method=1
Row: 156 _id=203, event_id=184, minutes=10, method=1
Row: 157 _id=204, event_id=185, minutes=10, method=1
Row: 158 _id=205, event_id=186, minutes=10, method=1
Row: 159 _id=208, event_id=189, minutes=10, method=1
Row: 160 _id=210, event_id=191, minutes=10, method=1
Row: 161 _id=213, event_id=194, minutes=60, method=1
Row: 162 _id=214, event_id=195, minutes=10, method=1
Row: 163 _id=216, event_id=197, minutes=10, method=1
Row: 164 _id=217, event_id=198, minutes=10, method=1
Row: 165 _id=218, event_id=199, minutes=10, method=1
Row: 166 _id=219, event_id=200, minutes=10, method=1
